Hour,Mean SUNSHINE,Standard Deviation (SUNSHINE),,,,Hour,Mean SUNSHINE,Standard Deviation (SUNSHINE),,,,Hour,Mean SUNSHINE,Standard Deviation (SUNSHINE),,,,Hour,Mean SUNSHINE,Standard Deviation (SUNSHINE),,,,Hour,Mean SUNSHINE,Standard Deviation (SUNSHINE),,,,Hour,Mean SUNSHINE,Standard Deviation (SUNSHINE),,,,Hour,Mean SUNSHINE,Standard Deviation (SUNSHINE),,,,Hour,Mean SUNSHINE,Standard Deviation (SUNSHINE),,,,Hour,Mean SUNSHINE,Standard Deviation (SUNSHINE),,,,Hour,Mean SUNSHINE,Standard Deviation (SUNSHINE),,,,Hour,Mean SUNSHINE,Standard Deviation (SUNSHINE),,,,Hour,Mean SUNSHINE,Standard Deviation (SUNSHINE),,,
12,0.0,0.0,,,,12,0.0,0.0,,,,12,0.0,0.0,,,,12,0.0,0.0,,,,12,0.0,0.0,,,,12,0.0,0.0,,,,12,0.0,0.0,,,,12,0.0,0.0,,,,12,0.0,0.0,,,,12,0.0,0.0,,,,12,0.0,0.0,,,,12,0.0,0.0,,,
13,0.0,0.0,,,,13,0.0,0.0,,,,13,0.0,0.0,,,,13,0.0,0.0,,,,13,0.0,0.0,,,,13,0.0,0.0,,,,13,0.0,0.0,,,,13,0.0,0.0,,,,13,0.0,0.0,,,,13,0.0,0.0,,,,13,0.0,0.0,,,,13,0.0,0.0,,,
14,0.0,0.0,,,,14,0.0,0.0,,,,14,0.0,0.0,,,,14,0.0,0.0,,,,14,0.0,0.0,,,,14,0.0,0.0,,,,14,0.0,0.0,,,,14,0.0,0.0,,,,14,0.009497716894977169,0.14023210943052722,,,,14,0.0,0.0,,,,14,0.0,0.0,,,,14,0.0,0.0,,,
15,0.0,0.0,,,,15,0.0,0.0,,,,15,0.0,0.0,,,,15,0.0,0.0,,,,15,0.0,0.0,,,,15,0.0,0.0,,,,15,0.0,0.0,,,,15,0.0,0.0,,,,15,0.0,0.0,,,,15,0.0,0.0,,,,15,0.0,0.0,,,,15,0.0,0.0,,,
16,0.0,0.0,,,,16,0.0,0.0,,,,16,0.0,0.0,,,,16,0.0,0.0,,,,16,0.0,0.0,,,,16,0.0,0.0,,,,16,0.0,0.0,,,,16,0.0,0.0,,,,16,0.0,0.0,,,,16,0.0,0.0,,,,16,0.0,0.0,,,,16,0.0,0.0,,,
17,0.0,0.0,,,,17,0.0,0.0,,,,17,0.0,0.0,,,,17,0.0,0.0,,,,17,0.0,0.0,,,,17,0.0,0.0,,,,17,0.0,0.0,,,,17,0.0,0.0,,,,17,0.0,0.0,,,,17,0.0,0.0,,,,17,0.0,0.0,,,,17,0.0,0.0,,,
18,0.0,0.0,,,,18,0.0,0.0,,,,18,0.0,0.0,,,,18,0.0,0.0,,,,18,0.0,0.0,,,,18,0.04,0.5754997827975263,,,,18,0.0,0.0,,,,18,0.0,0.0,,,,18,0.0,0.0,,,,18,0.0,0.0,,,,18,0.0,0.0,,,,18,0.0,0.0,,,
19,0.0,0.0,,,,19,0.0,0.0,,,,19,0.0,0.0,,,,19,0.0,0.0,,,,19,0.0,0.0,,,,19,0.0,0.0,,,,19,0.0,0.0,,,,19,0.0,0.0,,,,19,0.0,0.0,,,,19,0.0,0.0,,,,19,0.0,0.0,,,,19,0.0,0.0,,,
20,0.0,0.0,,,,20,0.0,0.0,,,,20,0.0,0.0,,,,20,0.0,0.0,,,,20,0.0,0.0,,,,20,0.0,0.0,,,,20,0.0,0.0,,,,20,0.0,0.0,,,,20,0.0,0.0,,,,20,0.0,0.0,,,,20,0.0,0.0,,,,20,0.0,0.0,,,
21,0.0,0.0,,,,21,0.0,0.0,,,,21,0.0,0.0,,,,21,0.0,0.0,,,,21,0.0,0.0,,,,21,0.0,0.0,,,,21,0.0,0.0,,,,21,0.0,0.0,,,,21,0.0,0.0,,,,21,0.0,0.0,,,,21,0.0,0.0,,,,21,0.0,0.0,,,
22,0.0,0.0,,,,22,0.0,0.0,,,,22,0.0,0.0,,,,22,0.0,0.0,,,,22,0.0,0.0,,,,22,0.0,0.0,,,,22,0.0,0.0,,,,22,0.0,0.0,,,,22,0.0,0.0,,,,22,0.0,0.0,,,,22,0.0,0.0,,,,22,0.0,0.0,,,
23,0.0,0.0,,,,23,0.0,0.0,,,,23,0.0,0.0,,,,23,0.0,0.0,,,,23,0.0,0.0,,,,23,0.0,0.0,,,,23,0.0,0.0,,,,23,0.0,0.0,,,,23,0.0,0.0,,,,23,0.0,0.0,,,,23,0.0,0.0,,,,23,0.0,0.0,,,
